timestamp,temp,pulse,stats
5220,36.8,87,99
5240,36.8,85,100
5260,36.8,89,98
5280,36.85,85,100
5300,36.85,89,98
5320,36.85,91,97
5340,36.9,87,99
5360,36.9,91,97
5380,36.9,91,97
5400,36.95,85,100
5420,36.95,93,96
5440,37.1,85,100
5460,37.15,91,97
5480,37.15,89,98
5500,37.3,89,98
5520,36.3,98,93
5540,37.45,85,100
5560,37.5,85,100
5580,36.6,84,100
5600,36.65,90,97
5620,36.8,90,97
5640,36.8,86,99
5660,36.85,88,98
5680,36.85,84,100
5700,36.85,88,98
5720,36.9,86,99
5740,37,84,100
5760,37,90,97
5780,37,84,100
5800,37,88,98
5820,37,88,98
5840,37.1,92,96
5860,38.1,85,100
5880,36.35,91,96
5900,36.45,83,100
5920,36.45,87,98
5940,37.5,94,95
5960,36.65,85,99
5980,37.65,86,99
6000,36.65,89,97
6020,36.7,85,99
6040,36.7,91,96
6060,36.75,83,100
6080,36.75,83,100
6100,36.8,93,95
6120,36.8,87,98
6140,36.8,83,100
6160,36.85,87,98
6180,36.85,87,98
6200,36.85,85,99
6220,36.85,91,96
6240,36.85,89,97
6260,36.9,91,96
6280,36.9,83,100
6300,37.9,92,96
6320,36.9,87,98
6340,36.95,91,96
6360,36.95,91,96
6380,37,87,98
6400,37,89,97
6420,37.15,95,94
6440,37.2,87,98
6460,37.25,87,98
6480,36.4,88,97
6500,36.5,88,97
6520,36.5,88,97
6540,36.6,82,100
6560,36.65,86,98
6580,36.7,82,100
6600,36.7,82,100
6620,36.75,86,98
6640,36.75,88,97
6660,36.85,88,97
6680,36.85,84,99
6700,37.95,91,96
6720,36.95,90,96
6740,36.95,82,100
6760,36.95,82,100
6780,37,82,100
6800,37,82,100
6820,36.15,83,99
6840,37.15,84,99
6860,36.25,81,100
6880,37.25,86,98
6900,37.3,86,98
6920,36.35,85,98
6940,37.35,86,98
6960,36.45,87,97
6980,36.5,81,100
7000,36.5,85,98
7020,36.5,85,98
7040,36.6,87,97
7060,36.6,87,97
7080,37.65,84,99
7100,36.65,83,99
7120,36.65,85,98
7140,36.7,81,100
7160,36.7,83,99
7180,36.7,83,99
7200,36.75,85,98
7220,36.75,81,100
7240,36.75,83,99
7260,36.75,85,98
7280,36.75,83,99
